,Name,Price,Model,Brand,Size,Retailer,Categories,Currencies
111,Samsung 75-inch Q80T 4K QLED Smart TV,4495,QA75Q80TAWXXY,Samsung,75,Harvey Norman,Televisions,AUD
112,Samsung 65-inch Q80T 4K QLED Smart TV,2995,QA65Q80TAWXXY,Samsung,65,Harvey Norman,Televisions,AUD
113,Samsung 55-inch Q80T 4K QLED Smart TV,2195,QA55Q80TAWXXY,Samsung,55,Harvey Norman,Televisions,AUD
114,Samsung 85-inch Q70T 4K QLED Smart TV,5495,QA85Q70TAWXXY,Samsung,85,Harvey Norman,Televisions,AUD
115,Samsung 75-inch Q70T 4K QLED Smart TV,3495,QA75Q70TAWXXY,Samsung,75,Harvey Norman,Televisions,AUD
116,Samsung 65-inch Q70T 4K QLED Smart TV,2295,QA65Q70TAWXXY,Samsung,65,Harvey Norman,Televisions,AUD
117,LG 55-inch CX Cinema Series 4K UHD Self-lit OLED Smart TV Ai ThinQ,3095                        ,OLED55CXPTA,LG,55,Harvey Norman,Televisions,AUD
118,LG 65-inch CX Cinema Series 4K UHD Self-lit OLED Smart TV Ai ThinQ,4295                        ,OLED65CXPTA,LG,65,Harvey Norman,Televisions,AUD
119,LG 77-inch CX Cinema Series 4K UHD Self-lit OLED Smart TV Ai ThinQ,7995                        ,OLED77CXPTA,LG,77,Harvey Norman,Televisions,AUD
120,LG 65-inch Nano99 8K NanoCell Ai ThinQ Smart TV,5495,65NANO99TNA,LG,65,Harvey Norman,Televisions,AUD
121,LG 75-inch Nano99 8K NanoCell Ai ThinQ Smart TV,7495,75NANO99TNA,LG,75,Harvey Norman,Televisions,AUD
122,LG 65-inch Nano80 4K NanoCell Ai ThinQ Smart TV,1895,65NANO80TNA,LG,65,Harvey Norman,Televisions,AUD
123,LG 65-inch Nano86 4K NanoCell Ai ThinQ Smart TV,2295,65NANO86TNA,LG,65,Harvey Norman,Televisions,AUD
124,LG 65-inch Nano91 4K NanoCell Ai ThinQ Smart TV,2695,65NANO91TNA,LG,65,Harvey Norman,Televisions,AUD
125,LG 75-inch Nano91 4K NanoCell Ai ThinQ Smart TV,4195,75NANO91TNA,LG,75,Harvey Norman,Televisions,AUD
126,LG 65-inch Nano95 8K NanoCell Ai ThinQ Smart TV,3995,65NANO95TNA,LG,65,Harvey Norman,Televisions,AUD
127,LG 75-inch Nano95 8K NanoCell Ai ThinQ Smart TV,5495,75NANO95TNA,LG,75,Harvey Norman,Televisions,AUD
128,Sony 75-inch X95H 4K UHD LED LCD Smart TV,3995                        ,KD75X9500H,Sony,75,Harvey Norman,Televisions,AUD
129,Hisense 75-inch Q8 4K ULED Smart TV,3495,75Q8,Hisense,75,Harvey Norman,Televisions,AUD
130,Hisense 65-inch Q8 4K ULED Smart TV,1995                        ,65Q8,Hisense,65,Harvey Norman,Televisions,AUD
131,Hisense 55-inch Q8 4K ULED Smart TV,1595,55Q8,Hisense,55,Harvey Norman,Televisions,AUD
132,Samsung 75-inch The Frame LS03T 4K QLED Smart TV,3995,QA75LS03TAWXXY,Samsung,75,Harvey Norman,Televisions,AUD
133,Samsung 55-inch The Frame LS03T 4K QLED Smart TV,1995,QA55LS03TAWXXY,Samsung,55,Harvey Norman,Televisions,AUD
134,Samsung 85-inch Q950T 8K QLED Smart TV,12995,QA85Q950TSWXXY,Samsung,85,Harvey Norman,Televisions,AUD
135,Samsung 75-inch Q950T 8K QLED Smart TV,7995,QA75Q950TSWXXY,Samsung,75,Harvey Norman,Televisions,AUD
136,Samsung 65-inch Q950T 8K QLED Smart TV,5995,QA65Q950TSWXXY,Samsung,65,Harvey Norman,Televisions,AUD
137,TCL 100-inch P715 QUHD LED LCD Smart TV,12995,100P715,TCL,100,Harvey Norman,Televisions,AUD
